Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100);;;;
Brasil;;;;
Trimestre;Setores e subsetores x Variável;;;
Trimestre;Agropecuária - total;Indústria - total;Serviços - total;PIB a preços de mercado
Trimestre;Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice);Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice);Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice);Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)
1º trimestre 1996;105,32;93,19;98,31;96,84
2º trimestre 1996;105,5;97,9;100,58;100,12
3º trimestre 1996;108,1;111,62;105,75;107,56
4º trimestre 1996;92,89;101,19;104,55;104,31
1º trimestre 1997;112,67;96,25;100,2;100,13
2º trimestre 1997;110,16;105,77;102,85;104,88
3º trimestre 1997;109,69;111,85;107,1;109,49
4º trimestre 1997;82,64;107,7;109,43;108,21
1º trimestre 1998;111,07;96,31;101,6;101,14
2º trimestre 1998;124,57;105,47;104,76;106,46
3º trimestre 1998;115,41;108,83;109,02;109,88
4º trimestre 1998;78,27;102,15;110,15;106,66
1º trimestre 1999;125,05;92,23;104,41;101,92
2º trimestre 1999;126,56;100,81;106,51;106,04
3º trimestre 1999;119,43;105;109,99;109,2
4º trimestre 1999;86,29;103,95;112,37;108,97
1º trimestre 2000;132,75;96,45;107,68;106,4
2º trimestre 2000;130,92;104,78;110,04;110,25
3º trimestre 2000;121,22;109,67;114,74;114,19
4º trimestre 2000;84,88;108,83;117,48;113,98
1º trimestre 2001;136,59;100,42;110,29;110,1
2º trimestre 2001;134,9;105,23;113,54;112,82
3º trimestre 2001;128,45;106,79;116,73;114,71
4º trimestre 2001;94,27;104,59;118,66;113,38
1º trimestre 2002;143,03;98,08;113,53;110,63
2º trimestre 2002;144,8;107,66;116,37;115,41
3º trimestre 2002;143,46;112,93;120,69;119,5
4º trimestre 2002;102,56;114,21;122,97;119,24
1º trimestre 2003;165,01;98,15;115,61;113,58
2º trimestre 2003;164,26;105,52;117,4;116,31
3º trimestre 2003;145,57;115,09;121,26;120,25
4º trimestre 2003;103,35;114,59;123,99;119,94
1º trimestre 2004;165,03;105,39;119,45;117,98
2º trimestre 2004;167,55;114,92;123,94;123,65
3º trimestre 2004;152,2;125,25;127,59;128,14
4º trimestre 2004;104,95;123,38;131,24;127,39
1º trimestre 2005;170,28;109,82;124,87;122,92
2º trimestre 2005;171,54;120,94;129,18;129,18
3º trimestre 2005;149,15;123,86;132,1;130,85
4º trimestre 2005;105,37;123,68;134,46;130,13
1º trimestre 2006;171,13;113,45;130,62;128,18
2º trimestre 2006;170,97;118,69;134,21;132,13
3º trimestre 2006;165,72;127,01;137,86;136,72
4º trimestre 2006;116,18;128,74;140,46;136,37
1º trimestre 2007;177,74;118,14;138,04;134,84
2º trimestre 2007;171,99;129,07;142,25;140,77
3º trimestre 2007;173,48;135,84;145,27;144,75
4º trimestre 2007;121,05;135,12;149,24;145,43
1º trimestre 2008;186,2;126,58;145,34;143,14
2º trimestre 2008;191,02;135,83;150,48;149,69
3º trimestre 2008;182,18;145,04;154,29;154,86
4º trimestre 2008;122,05;131,97;152,43;146,92
1º trimestre 2009;183,59;112,91;146,77;139,67
2º trimestre 2009;180,49;125,01;151,51;146,39
3º trimestre 2009;168,51;136,69;156,47;153,06
4º trimestre 2009;123,44;139,44;160,24;154,75
1º trimestre 2010;196,2;130,2;155,88;152,53
2º trimestre 2010;198,64;141,25;160,64;158,86
3º trimestre 2010;177,85;148,05;165,43;163,63
4º trimestre 2010;127,28;146,99;168,73;163,55
1º trimestre 2011;206,74;137,68;163,22;160,45
2º trimestre 2011;200,08;148,49;167,63;166,33
3º trimestre 2011;191,49;153,92;170,09;169,41
4º trimestre 2011;141,13;149,71;172,24;167,75
1º trimestre 2012;183,53;140,97;166,76;163,19
2º trimestre 2012;199,76;143,75;171,66;167,97
3º trimestre 2012;200,56;153,21;175,68;173,63
4º trimestre 2012;132,8;147,6;178,62;171,91
1º trimestre 2013;223;138,96;171,4;167,63
2º trimestre 2013;220,04;150,15;176,97;174,73
3º trimestre 2013;195,19;157,6;180,49;178,42
4º trimestre 2013;138,34;151,51;182,92;176,26
1º trimestre 2014;238,41;144,35;176,21;173,45
2º trimestre 2014;220,47;144,83;178,14;173,97
3º trimestre 2014;197,23;152,01;181,2;177,28
4º trimestre 2014;142,12;148,01;183,25;175,86
1º trimestre 2015;255,25;138,4;174,09;170,64
2º trimestre 2015;230,27;137,95;174,2;169,2
3º trimestre 2015;196,86;143,26;175,04;169,72
4º trimestre 2015;142,31;135,65;175,82;166,15
1º trimestre 2016;236,5;128,02;168,47;161,87
2º trimestre 2016;218,51;132,48;170,41;163,73
3º trimestre 2016;187,91;138,29;172,12;165,49
4º trimestre 2016;138,7;130,91;172,37;162,29
1º trimestre 2017;280,79;125,71;166,27;162,09
2º trimestre 2017;249,53;129,6;170,64;164,68
3º trimestre 2017;204,39;137,81;174,2;167,73
4º trimestre 2017;144,92;134,17;175,81;165,82
1º trimestre 2018;272,24;127,18;169,19;164,07
2º trimestre 2018;250,4;130,68;172,56;166,17
3º trimestre 2018;209,55;138,9;176,28;169,86
4º trimestre 2018;148,34;133,48;177,8;167,6
1º trimestre 2019;272,03;125,78;171,14;164,83
2º trimestre 2019;251,28;131,05;174,62;167,85
Fonte: IBGE - Contas Nacionais Trimestrais;;;;
;;;;
;;;;
Legenda;;;;
Símbolo;Significado;;;
-;"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução.";;;
0;"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas.";;;
X;"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido.";;;
..;"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas.";;;
...;"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa.";;;
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)";;;
